id|page|feature|wc
Löwenstein B / FT I|458|ad96d542-f1a2-4ac5-97bb-8287a7f736b2|Löwenstein_B_FT_I.png
Löwenstein B / FT II|458|1fb35385-02b6-4535-a1a3-a03c06689847|Löwenstein_B_FT_II.png
Löwenstein B / FT III|459|7a6dfb94-c3ca-45a9-b6e1-5d021ee743fd|Löwenstein_B_FT_III.png
Löwenstein B / FT IV|459|51c41bba-6441-42f7-9794-66cad6ce45bf|Löwenstein_B_FT_IV.png
Löwenstein B / FT V|459|.|.
Löwenstein B / FT VI|459-460|.|.
Löwenstein B / FT VII|460|dd4e0950-8d23-4786-8a8f-0a4efda83595|Löwenstein_B_FT_VII.png
Löwenstein B / FT VIII|460|605ca89b-82b7-42e3-9d65-7bc78dea6d7f|Löwenstein_B_FT_VIII.png
Löwenstein B / FT IX|461|f7f725d7-afd2-4ec4-a5d6-e2fe96f30df5|Löwenstein_B_FT_IX.png
Löwenstein B / FT X|461-462|.|.
Löwenstein B / FT XI|462|.|.
Löwenstein B / FT XII|462-463|.|.
Löwenstein B / FT XIII|463|.|.
Löwenstein B / FT XIV|463-464|.|.
Löwenstein B / FT XV|464|.|.
Löwenstein N / FT I (Victoria)|632-633|4d7d72a9-0ab9-40be-b82b-be8bd8b7f6c0|Löwenstein_N_FT_I_Victoria.png
Löwenstein N / FT II (Victoria)|633|d2b5b480-c312-4bc4-960c-25f55a576462|Löwenstein_N_FT_II_Victoria.png
Löwenstein N / FT III (Victoria)|634|4e028994-bf8d-4060-b3ba-fe1c59a8ea39|Löwenstein_N_FT_III_Victoria.png
Löwenstein N / FT IV (Victoria)|634|1b96da01-383c-405f-9a32-b6be8c4c569a|Löwenstein_N_FT_IV_Victoria.png
